Organization Name,Headquarters Location,Operating Status,Company Type,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Lead Investors,Number of Investors,Industry Groups,Industries,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Events,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Visit Duration,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Principales inversionistas
Medfin India,"Bangalore, Karnataka, India",Active,For Profit,,,,,,8.0,"Financial Services, Health Care","Health Care, Health Diagnostics, Health Insurance, Medical",2.0,Early Stage Venture,2022-04-11,15000000.0,USD,15000000.0,Series B,Series B,15000000.0,USD,15000000.0,16084522.0,USD,16084522.0,,48.675,"13,302.5",6.0,,,,"Sony Innovation Fund, Axilor Ventures, Blume Ventures, Kotak Investment Advisors, HealthXCapital"
Proxymity,"London, England, United Kingdom",Active,For Profit,,,,,3.0,11.0,Financial Services,Financial Services,4.0,Early Stage Venture,2022-04-12,15000000.0,USD,15000000.0,Series B,Series B,15000000.0,USD,15000000.0,72500000.0,USD,72500000.0,,,,,,,,"JP Morgan, HSBC, Deutsche Bank, BNY Mellon, State Street"
Homebound,"Santa Rosa, California, United States",Active,For Profit,,,,,4.0,17.0,"Design, Real Estate","Architecture, Construction, Home Improvement, Home Renovation, Interior Design",6.0,Seed,2022-03-25,182000.0,USD,182000.0,Angel,Angel,182000.0,USD,182000.0,128383078.0,USD,128383078.0,,75.336,21.209,27.0,,,,"Gaingels, Goldman Sachs, GV, Fifth Wall, Craft Ventures"
Material Exchange,"Stockholm, Stockholms Lan, Sweden",Active,For Profit,,,,,4.0,6.0,Transportation,Supply Chain Management,5.0,Early Stage Venture,2022-04-12,25000000.0,EUR,27065298.0,Series A,Series A,25000000.0,EUR,27065298.0,35220750.0,USD,35220750.0,,5.389,"2,208.17",55.0,,,,"Inventure, Molten Ventures, Partech, Norrsken VC, Day One Capital"
LifeMine Therapeutics,"Cambridge, Massachusetts, United States",Active,For Profit,,,,,4.0,14.0,"Biotechnology, Health Care, Science and Engineering","Biotechnology, Genetics, Life Science, Therapeutics",3.0,Late Stage Venture,2022-03-23,175000000.0,USD,175000000.0,Series C,Series C,175000000.0,USD,175000000.0,295000000.0,USD,295000000.0,,6.58,"4,932.83",419.0,237962.0,USD,237962.0,"GlaxoSmithKline, Merck, GV, Fidelity Management and Research Company, ARCH Venture Partners"
LawVu,"Tauranga, Gisborne, New Zealand",Active,For Profit,,,,,3.0,4.0,"Information Technology, Other, Professional Services, Software","Enterprise Software, Information Technology, Legal Tech, Professional Services, SaaS, Software",7.0,Early Stage Venture,2022-04-10,20000000.0,NZD,13664898.0,Series A,Series A,20000000.0,NZD,13664898.0,32146714.0,USD,32146714.0,,112.371,56.19,1.02,,,,"Insight Partners, Shasta Ventures, AirTree Ventures, New Zealand Growth Capital Partners"
Groupon,"Chicago, Illinois, United States",Active,For Profit,8.0,3.0,,1.0,5.0,24.0,"Commerce and Shopping, Internet Services, Media and Entertainment","E-Commerce, Internet, Retail, Social Media",8.0,IPO,2019-12-30,,,,Post-IPO Equity,Post-IPO Equity,,,,1387000000.0,USD,1387000000.0,19.0,"44,654,303","38,645,473",396.0,109322578.0,USD,109322578.0,"Silver Lake, Andreessen Horowitz, Greylock, Fidelity, Accel"
Lilium,"WeÃŸling, Bayern, Germany",Active,For Profit,,,,,4.0,12.0,"Science and Engineering, Transportation","Aerospace, Air Transportation, Transportation",6.0,IPO,2021-09-15,450000000.0,USD,450000000.0,Post-IPO Equity,Post-IPO Equity,450000000.0,USD,450000000.0,826400000.0,USD,826400000.0,,176.434,"173,366.17",491.0,6569993.0,USD,6569993.0,"Tencent, BlackRock, Baillie Gifford, Lightrock, Atomico"
Novelship,"Singapore, Central Region, Singapore",Active,For Profit,,,,,1.0,7.0,"Clothing and Apparel, Commerce and Shopping, Consumer Goods, Design, Internet Services","E-Commerce, E-Commerce Platforms, Fashion, Marketplace, Shoes, Shopping",4.0,Early Stage Venture,2022-04-01,10000000.0,USD,10000000.0,Series A,Series A,10000000.0,USD,10000000.0,12358975.0,USD,12358975.0,,141.436,"69,044.17",535.0,,,,"GSR Ventures, Global Founders Capital, East Ventures, K3 Ventures, iGlobe Partners"
Omada Health,"San Francisco, California, United States",Active,For Profit,,,,,8.0,30.0,Health Care,"Health Care, Medical, Therapeutics, Wellness",10.0,Late Stage Venture,2022-02-23,192000000.0,USD,192000000.0,Series E,Series E,192000000.0,USD,192000000.0,448520000.0,USD,448520000.0,2.0,"2,247,491",668.476,665.0,776993.0,USD,776993.0,"Humana, Andreessen Horowitz, Norwest Venture Partners, Kaiser Permanente, Founder Collective"
ProtonMail,"Geneva, Geneve, Switzerland",Active,For Profit,,,,,1.0,5.0,"Information Technology, Internet Services, Messaging and Telecommunications, Privacy and Security, Software","Cyber Security, Email, Messaging, Security, Software",5.0,Seed,2019-03-08,2000000.0,EUR,2246925.0,Grant,Seed,2000000.0,USD,2000000.0,4796926.0,USD,4796926.0,3.0,"25,252,580","24,797,599.33",563.0,14233091.0,USD,14233091.0,"MassChallenge, CRV, European Commission, FONGIT, MIT Venture Mentoring Service (MIT VMS)"
PayPal,"San Jose, California, United States",Active,For Profit,25.0,8.0,2.0,5.0,4.0,25.0,"Commerce and Shopping, Financial Services, Internet Services, Mobile, Payments, Software","E-Commerce Platforms, FinTech, Mobile Payments, Transaction Processing",5.0,M&A,2001-02-16,90000000.0,USD,90000000.0,Series D,Series D,90000000.0,USD,90000000.0,216000000.0,USD,216000000.0,104.0,"1,091,258,558","662,325,079.33",674.0,2175951483.0,USD,2175951483.0,"Sequoia Capital, Goldman Sachs, Deutsche Bank, Qualcomm Ventures, Temasek Holdings"
Remote,"San Francisco, California, United States",Active,For Profit,,,,,4.0,24.0,"Administrative Services, Financial Services, Payments, Professional Services","FinTech, Human Resources, Payments, Recruiting",4.0,Late Stage Venture,2022-04-05,300000000.0,USD,300000000.0,Series C,Series C,300000000.0,USD,300000000.0,496000000.0,USD,496000000.0,1.0,496.207,333.577,347.0,,,,"Sequoia Capital, Gaingels, HackerOne, General Catalyst, Liquid 2 Ventures"
Mercury,"San Francisco, California, United States",Active,For Profit,,,,,3.0,44.0,"Financial Services, Information Technology, Lending and Investments","Banking, Financial Services, FinTech, Information Technology, InsurTech",7.0,Early Stage Venture,2021-07-29,120000000.0,USD,120000000.0,Series B,Series B,120000000.0,USD,120000000.0,152214480.0,USD,152214480.0,1.0,"1,232,197","1,014,439",814.0,,,,"Snow K., Andreessen Horowitz, 500 Startups, Edward Lando, Coatue"
InCred,"Mumbai, Maharashtra, India",Active,For Profit,8.0,1.0,,2.0,3.0,17.0,"Financial Services, Lending and Investments","Banking, Consumer Lending, Finance, Financial Services, FinTech, Lending",8.0,Private Equity,2021-01-10,,,,Private Equity,Private Equity,,,,254425980.0,USD,254425980.0,,97.52,"99,066.33",865.0,,,,"FMO, Asas Capital, Moore Strategic Ventures, Alpha Capital, Paragon Partners, India"
Nautilus Labs,"New York, New York, United States",Active,For Profit,,,,,3.0,19.0,"Artificial Intelligence, Data and Analytics, Science and Engineering, Software, Transportation","Artificial Intelligence, Machine Learning, Marine Transportation, Shipping",6.0,Early Stage Venture,2022-03-16,34000000.0,USD,34000000.0,Series B,Series B,34000000.0,USD,34000000.0,47000000.0,USD,47000000.0,,10.168,,2.103,,,,"Techstars, SYSTEMIQ, Quiet Capital, Sam Altman, TMV"
MediBuddy,"Bangalore, Karnataka, India",Active,For Profit,,,,,6.0,15.0,"Financial Services, Health Care, Mobile","Health Care, Health Insurance, Medical, mHealth",6.0,M&A,2022-02-21,125000000.0,USD,125000000.0,Series C,Series C,125000000.0,USD,125000000.0,192132379.0,USD,192132379.0,,"3,128,250","3,202,700.5",739.0,,,,"Bessemer Venture Partners, Lightrock, Alteria Capital, InnoVen Capital, Rebright Partners"
Hercules Capital,"Palo Alto, California, United States",Active,For Profit,203.0,88.0,24.0,124.0,,1.0,"Financial Services, Lending and Investments","Commercial Lending, Financial Services, FinTech, Venture Capital",1.0,IPO,2016-05-17,6500000.0,USD,6500000.0,Post-IPO Debt,,,,,6500000.0,USD,6500000.0,,8.522,"7,676.83",1.637,18179732.0,USD,18179732.0,AloStar
Neuron23,"San Francisco, California, United States",Active,,,,,,4.0,10.0,Health Care,"Health Care, Medical, Pharmaceutical",4.0,Late Stage Venture,2022-03-30,100000000.0,USD,100000000.0,Series C,Series C,100000000.0,USD,100000000.0,213500000.0,USD,213500000.0,,4.402,,24.0,,,,"SoftBank Vision Fund, Perceptive Advisors, Kleiner Perkins, Redmile Group, Surveyor Capital"
LongHash Ventures,"Singapore, Central Region, Singapore",Active,For Profit,66.0,19.0,1.0,1.0,2.0,2.0,"Financial Services, Information Technology, Internet Services","Financial Services, Information Technology, Internet",1.0,,2019-03-20,10000000.0,CNY,1493763.0,Venture - Series Unknown,Venture - Series Unknown,10000000.0,CNY,1493763.0,10000000.0,CNY,1493764.0,,549,,0.0,,,,"Fenbushi Capital, Hashkey"
Layr,"Atlanta, Georgia, United States",Active,For Profit,,,,,3.0,14.0,"Artificial Intelligence, Data and Analytics, Financial Services, Internet Services, Science and Engineering, Software","Artificial Intelligence, Commercial Insurance, Financial Services, FinTech, Insurance, InsurTech, Internet",3.0,Early Stage Venture,2022-03-21,10000000.0,USD,10000000.0,Series A,Series A,10000000.0,USD,10000000.0,15625000.0,USD,15625000.0,,7.904,"4,014.5",472.0,,,,"Partners Group, Holmes Murphy & Associates, Sandbox Industries, Hudson Structured Capital Management, IMA Financial Group"
PPRO,"London, England, United Kingdom",Active,For Profit,1.0,1.0,,1.0,6.0,10.0,"Financial Services, Payments","Finance, Financial Services, FinTech, Payments",7.0,Private Equity,2021-03-25,90000000.0,USD,90000000.0,Private Equity,Private Equity,90000000.0,USD,90000000.0,370000000.0,USD,370000000.0,10.0,43.712,31.197,1.396,,,,"JP Morgan Chase, Eurazeo, Northleaf Capital Partners, Wellington Management, Eldridge"
IUNU,"Seattle, Washington, United States",Active,For Profit,,,,,4.0,12.0,"Agriculture and Farming, Artificial Intelligence, Consumer Electronics, Data and Analytics, Energy, Hardware, Manufacturing, Science and Engineering, Software, Sustainability","Agriculture, Artificial Intelligence, Computer, Industrial, Renewable Energy",8.0,Early Stage Venture,2022-03-16,24000000.0,USD,24000000.0,Series B,Series B,24000000.0,USD,24000000.0,45706954.0,USD,45706954.0,,5.803,"2,613.67",29.0,,,,"Liquid 2 Ventures, Village Capital, Initialized Capital, S2G Ventures, Astanor Ventures"
Reforge,"San Francisco, California, United States",Active,For Profit,,,,,2.0,14.0,"Education, Software","E-Learning, Education",2.0,Early Stage Venture,2022-03-03,60000000.0,USD,60000000.0,Series B,Series B,60000000.0,USD,60000000.0,81000000.0,USD,81000000.0,,368.446,"291,835.83",1.503,,,,"Andreessen Horowitz, Insight Partners, NextView Ventures, TCV, Bossa Nova Investimentos"
Hycroft Mining,"Winnemucca, Nevada, United States",Active,For Profit,,,,,2.0,2.0,"Natural Resources, Sustainability","Mining, Natural Resources, Precious Metals",3.0,IPO,2022-03-25,138600000.0,USD,138600000.0,Post-IPO Equity,Post-IPO Equity,138600000.0,USD,138600000.0,280850000.0,USD,280850000.0,,53.32,"10,973.33",113.0,,,,"AMC Theatres, Eric Sprott"
Perlego,"London, England, United Kingdom",Active,For Profit,,,,,2.0,20.0,"Content and Publishing, Education, Media and Entertainment, Other, Software","EBooks, EdTech, Education, Publishing, Subscription Service",6.0,Early Stage Venture,2022-03-03,38000000.0,GBP,50732551.0,Series B,Series B,38000000.0,GBP,50732551.0,65712721.0,USD,65712721.0,,"2,946,499","2,275,867.83",375.0,,USD,,"Founders Factory, Raine Ventures, ACE & Company, Alexander Edward Chesterman, Charlie Songhurst"
Lendable,"Nairobi, Nairobi Area, Kenya",Active,For Profit,17.0,15.0,1.0,,3.0,7.0,"Financial Services, Lending and Investments","Angel Investment, Finance, Financial Services, FinTech, Impact Investing",5.0,Early Stage Venture,2020-08-03,140231845.0,USD,140231845.0,Debt Financing,Series A,671000000.0,KES,6502253.0,147184098.0,USD,147184098.0,,6.2,"2,256.5",224.0,,,,"Flourish Ventures, Fenway Summer Ventures, FMO, US Angel Investors, Omidyar Network"
Ripple,"San Francisco, California, United States",Active,For Profit,23.0,9.0,3.0,3.0,5.0,39.0,"Financial Services, Internet Services, Other, Payments, Software","Blockchain, Cryptocurrency, FinTech, Internet, Payments",14.0,Early Stage Venture,2021-03-01,,,,Series B,Series B,,,,293800000.0,USD,293800000.0,14.0,678.731,"827,398.33",356.0,1460202.0,USD,1460202.0,"Digital Currency Group, Blockchain Capital, Andreessen Horowitz, Accenture, IDG Capital"
Mayo Clinic,"Rochester, Minnesota, United States",Active,For Profit,54.0,8.0,11.0,7.0,3.0,3.0,"Biotechnology, Health Care, Other, Science and Engineering","Biotechnology, Health Care, Medical, Non Profit",6.0,,2019-10-31,15000000.0,USD,15000000.0,Grant,,,,,386100000.0,USD,386100000.0,40.0,"208,741,811","194,102,517.5",513.0,143691.0,USD,143691.0,"National Institutes of Health, U.S. Department of Defense, Jay Alix"
OurCrowd,"Jerusalem, Yerushalayim, Israel",Active,For Profit,290.0,45.0,14.0,44.0,4.0,16.0,"Financial Services, Lending and Investments","Angel Investment, Crowdfunding, FinTech, Funding Platform, Venture Capital",6.0,Private Equity,2021-10-27,25000000.0,USD,25000000.0,Private Equity,Private Equity,25000000.0,USD,25000000.0,197500000.0,USD,197500000.0,5.0,211.477,"167,962.5",252.0,,,,"SoftBank Vision Fund, United Overseas Bank, UOB Venture, ORIX Group, Steven Blumgart"
Polychain,"San Francisco, California, United States",Active,,142.0,70.0,4.0,7.0,,8.0,"Financial Services, Lending and Investments, Payments, Software","Bitcoin, Cryptocurrency, Hedge Funds, Venture Capital",1.0,Seed,2016-12-11,10000000.0,USD,10000000.0,Seed,Seed,10000000.0,USD,10000000.0,10000000.0,USD,10000000.0,1.0,4.28,,0.0,,,,"Andreessen Horowitz, Union Square Ventures, Pantera Capital, DCM Ventures, DHVC"
Mesh,"San Jose, California, United States",Active,For Profit,,,,,2.0,19.0,"Administrative Services, Data and Analytics, Software","Application Performance Management, Enterprise Software, Human Resources, Productivity Tools",3.0,Early Stage Venture,2022-04-13,11000000.0,USD,11000000.0,Series A,Series A,11000000.0,USD,11000000.0,16100000.0,USD,16100000.0,,17.574,"22,624.83",675.0,,,,"Y Combinator, Liquid 2 Ventures, Surge, Ankit Nagori, Y Combinator Continuity Fund"
Observe.AI,"San Francisco, California, United States",Active,For Profit,,,,,6.0,18.0,"Artificial Intelligence, Data and Analytics, Science and Engineering, Software","Artificial Intelligence, Machine Learning, Natural Language Processing, SaaS, Speech Recognition",6.0,Late Stage Venture,2022-04-12,125000000.0,USD,125000000.0,Series C,Series C,125000000.0,USD,125000000.0,214020000.0,USD,214020000.0,1.0,104.231,"62,692.5",4.59,,,,"Zoom, Y Combinator, SoftBank Vision Fund, Liquid 2 Ventures, Menlo Ventures"
